quarter,ticker,sector,value_score,quality_score,piotroski_f,momentum_pct,f_gate_fired,momentum_gate_fired,revenue_gate_fired,raw_classification,final_classification,gate_message
2025-03-31,CTAS,Industrials,89.3,82.8,8,75.4,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-03-31,HSY,Consumer Staples,80.7,79.2,7,31.9,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-06-30,CTAS,Industrials,87.9,84.0,8,81.5,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-06-30,LULU,Consumer Discretionary,87.3,81.5,7,49.1,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-06-30,HSY,Consumer Staples,82.0,78.6,7,26.9,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-06-30,MOH,Unknown,82.7,75.2,6,43.9,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-06-30,KMB,Consumer Staples,75.8,80.7,8,50.4,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-06-30,CI,Health Care,75.2,77.2,6,37.9,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-09-30,KMB,Consumer Staples,80.5,80.7,8,32.7,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-09-30,HSY,Consumer Staples,79.5,78.3,7,40.3,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-09-30,HSIC,Health Care,79.2,77.6,7,35.8,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-09-30,CI,Health Care,79.5,76.8,6,25.2,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-12-31,MRK,Health Care,79.0,82.3,8,50.9,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-12-31,HSY,Consumer Staples,81.5,78.1,7,58.7,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2026-03-31,DECK,Consumer Discretionary,92.8,77.8,7,35.8,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2026-03-31,AOS,Industrials,86.2,82.0,8,59.5,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2026-03-31,INCY,Health Care,81.6,76.8,6,89.3,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
